config_id,cache,p50_us,p95_us,p99_us
size_64mb,Ristretto,0.00,0.00,1.00
size_64mb,Adaptive_TinyLFU,0.00,0.00,2.00
size_64mb,BigCache,0.00,1.00,1.00
size_64mb,GoCache,0.00,0.00,1.00
size_128mb,Ristretto,0.00,1.00,4.00
size_128mb,Adaptive_TinyLFU,0.00,0.00,2.00
size_128mb,BigCache,0.00,1.00,1.00
size_128mb,GoCache,0.00,0.00,1.00
size_256mb,Ristretto,0.00,1.00,4.00
size_256mb,Adaptive_TinyLFU,0.00,1.00,2.00
size_256mb,BigCache,0.00,1.00,1.00
size_256mb,GoCache,0.00,0.00,1.00
size_512mb,Ristretto,0.00,1.00,4.00
size_512mb,Adaptive_TinyLFU,0.00,1.00,2.00
size_512mb,BigCache,0.00,1.00,3.00
size_512mb,GoCache,0.00,0.00,1.00
size_1gb,Ristretto,0.00,1.00,3.00
size_1gb,Adaptive_TinyLFU,0.00,1.00,4.00
size_1gb,BigCache,0.00,1.00,4.00
size_1gb,GoCache,0.00,0.00,1.00
val_256b,Ristretto,0.00,0.00,1.00
val_256b,Adaptive_TinyLFU,0.00,0.00,1.00
val_256b,BigCache,0.00,1.00,3.00
val_256b,GoCache,0.00,0.00,0.00
val_1kb,Ristretto,0.00,0.00,0.00
val_1kb,Adaptive_TinyLFU,0.00,0.00,0.00
val_1kb,BigCache,0.00,2.00,3.00
val_1kb,GoCache,0.00,0.00,0.00
val_4kb,Ristretto,0.00,0.00,1.00
val_4kb,Adaptive_TinyLFU,0.00,0.00,1.00
val_4kb,BigCache,0.00,2.00,5.00
val_4kb,GoCache,0.00,0.00,0.00
val_16kb,Ristretto,0.00,0.00,1.00
val_16kb,Adaptive_TinyLFU,0.00,0.00,1.00
val_16kb,BigCache,2.00,5.00,12.00
val_16kb,GoCache,0.00,0.00,0.00
val_64kb,Ristretto,0.00,0.00,0.00
val_64kb,Adaptive_TinyLFU,0.00,0.00,1.00
val_64kb,BigCache,8.00,17.00,26.00
val_64kb,GoCache,0.00,0.00,0.00
skew_0.80,Ristretto,0.00,0.00,0.00
skew_0.80,Adaptive_TinyLFU,0.00,0.00,0.00
skew_0.80,BigCache,0.00,0.00,3.00
skew_0.80,GoCache,0.00,0.00,0.00
skew_0.90,Ristretto,0.00,0.00,0.00
skew_0.90,Adaptive_TinyLFU,0.00,0.00,1.00
skew_0.90,BigCache,0.00,1.00,3.00
skew_0.90,GoCache,0.00,0.00,0.00
skew_0.95,Ristretto,0.00,0.00,1.00
skew_0.95,Adaptive_TinyLFU,0.00,0.00,1.00
skew_0.95,BigCache,0.00,1.00,3.00
skew_0.95,GoCache,0.00,0.00,0.00
skew_0.99,Ristretto,0.00,0.00,0.00
skew_0.99,Adaptive_TinyLFU,0.00,0.00,1.00
skew_0.99,BigCache,0.00,1.00,3.00
skew_0.99,GoCache,0.00,0.00,0.00
